"Idempresa";"Idalimentador";"Nombre";"Idelemento";"Idbarramt";"Subestacion";"Tipoalimentador";"Canttrafos";"Kva";"Potenciaequivalente";"Kmmt";"Densidad";"Cantusubt";"Cantusumt"
"E";"PARQUE INDUSTRIAL 2";"PARQUE INDUSTRIAL 2";"S2C029";"1";"ROCA";"U";"107";"11940";"158";"61.40";"197.04";"4413";"3"
"E";"PASO_CORDOBA";"PASO_CORDOBA";"S2C378";"1";"ET ROCA";"R";"100";"10344";"195";"77.22";"136.48";"1901";"3"
"E";"PC001";"PC001";"S5L030";"1";"PUNTA COLORADA";"R";"11";"1229";"7";"31.06";"39.79";"818";"1"
"E";"PU001";"PU001";"S5H140";"1";"SAO";"U";"8";"1042";"0";"3.44";"302.91";"113";"1"
"E";"PU002";"PU002";"S5H141";"1";"SAO";"U";"5";"983";"0";"2.17";"453.00";"145";"1"
"E";"RIVADAVIA";"RIVADAVIA";"S1A007";"1";"CD 1";"U";"10";"2475";"1005";"4.50";"773.33";"1997";"1"
"E";"RURAL";"RURAL";"S4V260";"1";"RURAL";"R";"182";"7737";"0";"126.81";"61.01";"4897";"0"
"E";"RUTA 151";"RUTA 151";"S1A209";"1";"CD1";"U";"87";"7997";"230";"49.74";"165.40";"1613";"3"
"E";"S2B708";"S2B708";"S2B708";"1";"ET3A";"R";"97";"4717";"0";"92.05";"51.24";"343";"4"
"E";"SALENTEIN";"SALENTEIN";"S2B701";"";"";"U";"0";"0";"1250";"3.88";"322.16";"0";"1"
"E";"SAN_JUAN";"SAN_JUAN";"S2C379";"1";"ET ROCA";"U";"11";"4205";"0";"12.26";"342.99";"2904";"0"
"E";"SANTA GREGORIA";"SANTA GREGORIA";"S3G604";"1";"CH";"R";"45";"3514";"305";"45.74";"83.49";"605";"5"
"E";"SARGENTO VIDAL";"SARGENTO VIDAL";"S1E201";"1";"ET CAMPO GRANDE";"R";"43";"1955";"64";"31.36";"64.38";"523";"1"
"E";"SARMIENTO";"SARMIENTO";"S2C236";"1";"ROCA";"U";"8";"4220";"0";"3.38";"1248.52";"1686";"0"
"E";"SG001";"SG001";"S5L001";"1";"SG";"R";"63";"5342";"84";"209.15";"25.94";"3719";"1"
"E";"SG002";"SG002";"S5L044";"1";"SG002";"R";"0";"0";"249";"2.15";"115.81";"0";"1"
"E";"SO001";"SO001";"S5H102";"1";"SA";"U";"20";"5373";"112";"7.00";"783.57";"2486";"1"
"E";"SO002";"SO002";"S5H101";"1";"SA";"U";"45";"5252";"15";"21.59";"243.96";"1969";"1"
"E";"SO003";"SO003";"S5H160";"1";"SA";"U";"21";"4570";"0";"6.93";"659.45";"3087";"0"
"E";"STEFENELLI";"STEFENELLI";"S2C090";"1";"ROCA";"U";"81";"12114";"1244";"40.07";"333.37";"4364";"12"
"E";"SUR";"SUR";"S6J001";"1";"EB";"U";"31";"6142";"109";"12.11";"516.18";"3422";"2"
"E";"VA001";"VA001";"S5N100";"1";"VA";"U";"8";"888";"0";"3.09";"287.38";"666";"0"
"E";"VA002";"VA002";"S5N101";"1";"VAL";"U";"6";"883";"0";"2.86";"308.74";"1120";"0"
"E";"VA003";"VA003";"S5N031";"1";"VA";"R";"73";"2106";"0";"243.31";"8.66";"763";"0"
"E";"VIEDMA 1";"VIEDMA 1";"S4V000";"1";"VIE";"U";"21";"7998";"0";"7.53";"1062.15";"3779";"0"
"E";"VIEDMA 2";"VIEDMA 2";"S4V030";"1";"VIE";"U";"20";"7208";"157";"6.97";"1056.67";"2140";"1"
"E";"VIEDMA 3";"VIEDMA 3";"S4V060";"1";"VIED";"U";"20";"5938";"0";"9.79";"606.54";"3412";"0"
"E";"VIEDMA 4";"VIEDMA 4";"S4V400";"1";"VI";"U";"30";"6808";"118";"14.72";"470.52";"5250";"1"
"E";"VIEDMA 5";"VIEDMA 5";"S4V500";"1";"VIED";"R";"134";"2979";"88";"272.72";"11.25";"546";"7"
"E";"VILLA TURISMO";"VILLA TURISMO";"S6J111";"1";"EB";"R";"68";"3987";"117";"32.89";"124.78";"2026";"1"
"E";"ZONA INDUSTRIAL";"ZONA INDUSTRIAL";"S1A568";"1";"CIPO";"U";"21";"5678";"1041";"5.17";"1299.61";"1303";"4"
"E";"ZUMOS";"ZUMOS";"S1E208";"1";"CD CINCO SALTOS";"U";"25";"4608";"0";"9.85";"467.82";"1250";"1"
